ps_number,mfg_part_number,name,brand,appliance_type,price,in_stock,rating,review_count,installation_difficulty,source_url
PS450601,5300189377,Tappan Refrigerator HOT TUBE REPAIR KIT,Frigidaire,refrigerator,171.95,False,,,,https://www.partselect.com/PS450601-Frigidaire-5300189377-HOT-TUBE-REPAIR-KIT.htm
PS450603,5300189379,Tappan Refrigerator HOT TUBE REPAIR KIT,Frigidaire,refrigerator,254.11,False,,,,https://www.partselect.com/PS450603-Frigidaire-5300189379-HOT-TUBE-REPAIR-KIT.htm
PS450606,5300189383,Tappan Refrigerator HOT TUBE REPAIR KIT,Frigidaire,refrigerator,616.58,False,,,,https://www.partselect.com/PS450606-Frigidaire-5300189383-HOT-TUBE-REPAIR-KIT.htm
PS453166,5303001386,Tappan Refrigerator TUBE-DRAIN,Frigidaire,refrigerator,20.29,False,,,,https://www.partselect.com/PS453166-Frigidaire-5303001386-TUBE-DRAIN.htm
PS456479,5303210377,Tappan Refrigerator TUBE-DRAIN,Frigidaire,refrigerator,85.09,False,,,,https://www.partselect.com/PS456479-Frigidaire-5303210377-TUBE-DRAIN.htm
PS429964,240350609,Uni Refrigerator Pan Cover Glass Insert,Frigidaire,refrigerator,117.34,True,4.6,31,Really Easy,https://www.partselect.com/PS429964-Frigidaire-240350609-Pan-Cover-Glass-Insert.htm
PS7321341,242193204,Uni Refrigerator Door Gasket - White,Frigidaire,refrigerator,140.27,True,4.0,3,Really Easy,https://www.partselect.com/PS7321341-Frigidaire-242193204-Door-Gasket-White.htm
PS8769012,242193202,Uni Refrigerator Door Gasket - White,Frigidaire,refrigerator,145.94,True,5.0,2,,https://www.partselect.com/PS8769012-Frigidaire-242193202-Door-Gasket-White.htm
PS7784009,242193213,Uni Refrigerator GASKET-DOOR REF. 21,Frigidaire,refrigerator,153.71,True,4.6,77,Very Easy,https://www.partselect.com/PS7784009-Frigidaire-242193213-GASKET-DOOR-REF-21.htm
PS430380,240385201,Uni Refrigerator Ice Container,Frigidaire,refrigerator,113.11,True,5.0,4,Really Easy,https://www.partselect.com/PS430380-Frigidaire-240385201-Ice-Container.htm
PS3408605,242029301,Uni Refrigerator Handle Mounting Block,Frigidaire,refrigerator,19.99,False,5.0,1,,https://www.partselect.com/PS3408605-Frigidaire-242029301-Handle-Mounting-Block.htm
PS2363761,241930101,Uni Refrigerator Door Handle - Stainless Steel,Frigidaire,refrigerator,122.74,True,5.0,1,Very Easy,https://www.partselect.com/PS2363761-Frigidaire-241930101-Door-Handle-Stainless-Steel.htm
PS3408606,242029401,Uni Refrigerator Door Handle - Stainless,Frigidaire,refrigerator,150.76,True,2.3,3,,https://www.partselect.com/PS3408606-Frigidaire-242029401-Door-Handle-Stainless.htm
PS428420,218668001,Uni Refrigerator Door Handle,Frigidaire,refrigerator,116.48,True,5.0,3,Really Easy,https://www.partselect.com/PS428420-Frigidaire-218668001-Door-Handle.htm
PS428422,218668003,Uni Refrigerator Door Handle,Frigidaire,refrigerator,54.93,True,4.0,1,,https://www.partselect.com/PS428422-Frigidaire-218668003-Door-Handle.htm
PS423913,215870629,Uni Refrigerator Handle Trim - White,Frigidaire,refrigerator,44.29,False,,,Really Easy,https://www.partselect.com/PS423913-Frigidaire-215870629-Handle-Trim-White.htm
PS3490480,242077302,Uni Refrigerator Freezer Drawer Handle Screw - #10 ab Flat Head,Frigidaire,refrigerator,7.95,True,3.0,2,,https://www.partselect.com/PS3490480-Frigidaire-242077302-Freezer-Drawer-Handle-Screw-10-ab-Flat-Head.htm
PS1151895,5304453707,"Uni Refrigerator Screw,control mtg.",Frigidaire,refrigerator,13.49,True,,,Really Easy,https://www.partselect.com/PS1151895-Frigidaire-5304453707-Screw-control-mtg.htm
PS3495528,242121701,Uni Refrigerator THERMOSTAT-DEFROST,Frigidaire,refrigerator,50.75,False,,,,https://www.partselect.com/PS3495528-Frigidaire-242121701-THERMOSTAT-DEFROST.htm
PS3495529,242121702,Uni Refrigerator THERMOSTAT-DEFROST,Frigidaire,refrigerator,52.35,False,,,,https://www.partselect.com/PS3495529-Frigidaire-242121702-THERMOSTAT-DEFROST.htm
PS1992717,5304458064,Uni Refrigerator CONTROL-TEMPERATURE,Frigidaire,refrigerator,64.48,False,,,,https://www.partselect.com/PS1992717-Frigidaire-5304458064-CONTROL-TEMPERATURE.htm
PS455089,5303207230,Uni Refrigerator Door Shelf Retainer Bar End Cap - Right Side,Frigidaire,refrigerator,15.69,False,,,Really Easy,https://www.partselect.com/PS455089-Frigidaire-5303207230-Door-Shelf-Retainer-Bar-End-Cap-Right-Side.htm
PS455088,5303207229,Uni Refrigerator Door Shelf Retainer Bar End Cap - Left Side,Frigidaire,refrigerator,14.14,False,,,Really Easy,https://www.partselect.com/PS455088-Frigidaire-5303207229-Door-Shelf-Retainer-Bar-End-Cap-Left-Side.htm
PS2363673,241812202,Uni Refrigerator MAGNET,Frigidaire,refrigerator,57.17,True,,,,https://www.partselect.com/PS2363673-Frigidaire-241812202-MAGNET.htm
PS2378677,241839412,Uni Refrigerator GRILLE/KICKPLATE,Frigidaire,refrigerator,25.33,False,,,,https://www.partselect.com/PS2378677-Frigidaire-241839412-GRILLE-KICKPLATE.htm
PS421795,215011700,Uni Refrigerator LOUVER,Frigidaire,refrigerator,11.13,False,,,,https://www.partselect.com/PS421795-Frigidaire-215011700-LOUVER.htm
PS422604,215362918,Uni Refrigerator GRILLE/KICKPLATE,Frigidaire,refrigerator,93.11,False,,,,https://www.partselect.com/PS422604-Frigidaire-215362918-GRILLE-KICKPLATE.htm
PS427607,218359601,Uni Refrigerator Kickplate Grille,Frigidaire,refrigerator,131.93,False,,,Really Easy,https://www.partselect.com/PS427607-Frigidaire-218359601-Kickplate-Grille.htm
PS427622,218359616,Uni Refrigerator GRILLE/KICKPLATE,Frigidaire,refrigerator,40.31,False,,,,https://www.partselect.com/PS427622-Frigidaire-218359616-GRILLE-KICKPLATE.htm
PS8689662,5304491942,Uni Refrigerator Compressor Start Relay Kit,Frigidaire,refrigerator,95.87,True,,,,https://www.partselect.com/PS8689662-Frigidaire-5304491942-Compressor-Start-Relay-Kit.htm
PS3409464,5303918491,Uni Refrigerator EVAPORATOR KIT,Frigidaire,refrigerator,236.58,False,,,,https://www.partselect.com/PS3409464-Frigidaire-5303918491-EVAPORATOR-KIT.htm
